N,pH,EC,Zn,Fe,Output
138,7.68,0.6,0.73,0.36,2
88,7.46,0.44,0.18,0.78,2
320,7.62,0.68,0.26,7.54,2
333,7.45,0.55,0.55,8.32,2
351,7.58,0.38,0.37,4.55,2
320,7.68,0.42,0.48,6.32,2
339,7.73,0.65,0.22,4.21,2
358,11.15,0.51,0.28,4.13,2
333,8.26,0.48,0.51,3.32,2
320,7.38,0.65,0.39,6.67,2
370,8.1,0.52,0.24,0.52,2
301,7.9,0.59,0.35,0.31,2
314,7.4,0.55,0.2,0.73,2
270,7.8,0.37,0.34,1.13,2
320,7.5,0.52,0.11,1.14,2
345,7.1,0.7,0.34,0.83,2
370,8.1,0.57,0.26,1.85,2
339,8.3,0.67,0.28,1.36,2
383,8.1,0.6,0.4,0.67,2
383,7.8,0.41,0.37,0.66,2
377,7.8,0.64,0.37,0.88,2
364,7.3,0.33,0.34,0.88,2
358,7.3,0.62,0.44,0.67,2
333,7.43,0.61,0.37,1.26,2
358,7.8,0.29,0.26,5.26,2
195,7.34,0.56,0.41,7.04,2
345,7.37,0.62,0.48,7.05,2
314,7.41,0.8,0.51,7.63,2
320,7.38,0.65,0.38,5.41,2
333,8.26,0.48,0.6,7.62,2
326,7.13,0.51,0.29,4.85,2
333,7.1,0.42,0.75,4.96,2
351,7.82,0.37,0.36,5.51,2
326,7.33,0.4,0.51,9.03,2
358,7.02,0.48,0.29,3.56,2
345,7.85,0.38,0.35,8.54,2
314,7.04,0.43,0.17,6.11,2
333,7.62,0.51,0.26,3.05,2
320,7.38,0.65,0.58,4.58,2
