N,pH,EC,Zn,Fe,Output
138,7.46,0.62,0.24,0.31,0
213,7.62,0.75,0.3,0.86,0
163,7.59,0.51,0.3,0.86,0
157,7.64,0.58,0.34,0.54,0
270,7.63,0.4,0.25,0.76,1
220,7.43,0.65,0.37,0.66,0
220,7.62,0.43,0.34,0.69,0
207,7.63,0.59,0.32,0.68,0
289,7.58,0.44,0.63,0.66,1
138,7.55,0.33,0.69,0.41,0
151,7.59,0.45,0.71,0.38,1
144,7.53,0.73,0.63,0.47,0
138,7.68,0.6,0.73,0.36,2
144,7.45,0.53,0.51,0.56,0
201,7.39,0.77,0.58,0.47,1
182,7.47,0.34,0.77,0.41,0
238,7.38,0.88,0.46,0.38,0
270,7.45,0.55,0.28,0.44,1
213,7.38,0.78,0.3,0.49,0
245,7.31,0.63,0.29,0.43,0
282,7.43,0.62,0.32,0.5,1
213,7.36,0.51,0.28,0.93,0
207,7.62,0.68,0.28,0.72,0
307,7.49,0.84,0.26,0.57,1
207,7.55,0.61,0.24,0.47,0
201,7.44,0.76,0.18,0.83,0
364,7.63,0.52,0.23,1.19,1
220,7.42,0.63,0.19,1.08,0
245,7.58,0.74,0.32,0.96,0
207,7.41,0.42,0.27,0.92,0
276,7.34,0.53,0.28,0.57,1
207,7.4,0.84,0.27,0.46,0
245,7.29,0.63,0.25,0.44,0
169,8.23,0.58,0.2,0.38,1
182,7.62,0.52,0.73,0.46,0
220,7.48,0.59,0.83,0.37,0
138,7.42,0.72,0.37,0.32,1
238,7.59,0.43,0.45,0.43,0
151,7.46,0.43,0.36,0.38,0
207,7.44,0.55,0.45,0.47,0
138,7.63,0.86,0.76,0.35,0
182,7.48,0.57,0.59,0.92,0
138,7.54,0.72,0.29,0.95,0
207,7.52,0.44,0.31,0.81,0
295,7.41,0.48,0.38,0.71,1
289,7.64,0.57,0.18,1.06,1
207,7.55,0.57,0.18,0.96,0
138,7.48,0.63,0.19,1.02,0
138,7.65,0.58,0.25,1.05,0
82,7.37,0.51,0.2,1.03,1
107,7.43,0.43,0.18,0.95,0
38,7.57,0.42,0.18,0.86,1
88,7.46,0.44,0.18,0.78,2
19,7.38,0.29,0.17,0.76,0
56,7.32,0.67,0.23,0.95,0
50,7.36,0.34,0.43,0.59,1
38,7.4,0.48,0.3,1.29,0
25,7.33,0.43,0.46,0.35,0
82,7.63,0.44,0.56,0.35,1
88,7.52,0.37,0.19,0.74,0
144,7.57,0.54,0.37,0.51,0
